Date,Open,High,Low,Close,Adj Close,Volume
2013-09-16,975.549988,990.000000,947.549988,950.900024,809.857727,174386
2013-09-17,954.000000,975.875000,950.000000,973.525024,829.126831,393312
2013-09-18,973.000000,982.400024,970.000000,977.000000,832.086243,310522
2013-09-19,980.000000,994.000000,962.500000,981.625000,836.025269,503666
2013-09-20,977.500000,994.224976,971.375000,976.424988,831.596497,161370
2013-09-23,972.500000,989.000000,970.525024,977.724976,832.703735,195178
2013-09-24,980.000000,988.000000,963.000000,970.075012,826.188416,104950
2013-09-25,972.549988,985.799988,960.000000,979.025024,833.810852,299700
2013-09-26,972.500000,986.349976,967.700012,970.549988,826.592957,146382
2013-09-27,969.000000,980.250000,969.000000,973.575012,829.169189,122670
2013-09-30,974.000000,980.625000,960.000000,963.349976,820.460876,127168
2013-10-01,963.500000,975.000000,955.549988,972.775024,828.487854,75806
2013-10-03,980.000000,1017.450012,980.000000,1011.900024,861.809814,366608
2013-10-04,1015.000000,1033.900024,1013.530029,1016.400024,865.642334,383672
2013-10-07,1019.000000,1047.000000,1008.000000,1042.030029,887.470581,306810
2013-10-08,1043.500000,1049.000000,1030.000000,1031.680054,878.655884,172002
2013-10-09,1031.030029,1047.500000,1022.599976,1045.030029,890.025635,145440
2013-10-10,1045.000000,1048.969971,1035.000000,1040.750000,886.380676,129946
2013-10-11,1055.000000,1068.180054,1042.500000,1062.030029,904.504211,294708
2013-10-14,1062.500000,1112.000000,1062.500000,1107.319946,943.076599,529718
2013-10-15,1117.500000,1129.030029,1101.000000,1109.069946,944.566895,625922
2013-10-17,1119.949951,1119.949951,1049.119995,1053.849976,897.537415,734006
2013-10-18,1052.000000,1065.349976,1031.050049,1060.199951,902.945740,601324
2013-10-21,1060.550049,1063.500000,1026.300049,1036.750000,882.973877,426514
2013-10-22,1040.000000,1054.000000,1040.000000,1043.680054,888.875977,217028
2013-10-23,1045.000000,1046.500000,1024.430054,1030.219971,877.412415,225300
2013-10-24,1027.500000,1041.300049,1002.299988,1004.299988,855.337036,401322
2013-10-25,1000.000000,1035.530029,997.450012,1033.650024,883.854004,324608
2013-10-28,1035.000000,1044.719971,1027.000000,1031.619995,882.118164,149920
2013-10-29,1031.000000,1043.000000,1024.500000,1035.150024,885.136658,123814
2013-10-30,1036.000000,1049.699951,1036.000000,1045.069946,893.619019,156490
2013-10-31,1045.500000,1056.699951,1039.069946,1054.119995,901.357483,165128
2013-11-01,1055.000000,1070.400024,1045.119995,1048.569946,896.611572,141780
2013-11-05,1048.000000,1051.000000,1015.919983,1021.030029,873.062988,150200
2013-11-06,1031.000000,1050.000000,1030.000000,1045.880005,894.311462,183622
2013-11-07,1045.500000,1074.000000,1042.849976,1060.569946,906.872742,281770
2013-11-08,1061.000000,1065.000000,1038.000000,1046.400024,894.756287,172414
2013-11-11,1045.000000,1069.949951,1030.530029,1048.969971,896.953857,149600
2013-11-12,1052.000000,1059.599976,1039.500000,1043.400024,892.190979,118784
2013-11-13,1046.000000,1052.449951,1023.280029,1026.099976,877.398071,205962
2013-11-14,1033.000000,1036.199951,1007.500000,1012.880005,866.093933,190272
2013-11-18,1025.000000,1030.000000,1017.580017,1023.219971,874.935364,104408
2013-11-19,1023.830017,1027.500000,1011.000000,1015.119995,868.009277,133688
2013-11-20,1020.000000,1025.250000,1010.049988,1011.849976,865.213135,112810
2013-11-21,1012.049988,1017.750000,991.500000,994.775024,850.612793,177100
2013-11-22,1000.000000,1005.799988,993.575012,1000.349976,855.379700,172242
2013-11-25,1002.650024,1013.250000,997.500000,1006.330017,860.493286,131892
2013-11-26,1011.000000,1011.000000,995.000000,997.650024,853.070984,124846
2013-11-27,1004.500000,1004.969971,988.500000,992.450012,848.624634,74900
2013-11-28,997.500000,998.549988,985.049988,992.250000,848.453613,154568
2013-11-29,992.250000,1007.469971,991.500000,1002.299988,857.047119,159278
2013-12-02,1000.500000,1010.000000,1000.500000,1007.099976,861.151611,90628
2013-12-03,1005.530029,1020.000000,1005.530029,1010.099976,863.716736,292854
2013-12-04,1010.380005,1015.000000,998.325012,1001.299988,856.192139,109642
2013-12-05,1007.500000,1017.599976,993.250000,995.075012,850.869263,115350
2013-12-06,995.075012,1005.000000,995.075012,999.974976,855.059082,104906
2013-12-09,1010.000000,1015.000000,999.700012,1001.530029,856.388855,255976
2013-12-10,1004.349976,1044.500000,1002.500000,1041.119995,890.241150,492468
2013-12-11,1035.550049,1044.930054,1022.500000,1028.280029,879.262207,205042
2013-12-12,1024.400024,1035.000000,1012.000000,1013.419983,866.555847,122688
2013-12-13,1023.000000,1023.000000,980.000000,1001.450012,856.320313,239884
2013-12-16,1004.000000,1019.849976,1002.799988,1008.650024,862.476929,146190
2013-12-17,1016.000000,1032.599976,1016.000000,1023.049988,874.789978,424570
2013-12-18,1022.500000,1035.449951,1022.500000,1027.150024,878.295959,122632
2013-12-19,1032.500000,1054.449951,1030.500000,1040.680054,889.865234,230158
2013-12-20,1047.900024,1064.930054,1027.500000,1059.780029,906.197327,247822
2013-12-23,1065.000000,1071.819946,1049.500000,1054.800049,901.938721,199388
2013-12-24,1060.500000,1064.530029,1052.500000,1055.569946,902.597168,75464
2013-12-26,1055.500000,1058.500000,1045.000000,1049.719971,897.595032,102868
2013-12-27,1051.000000,1083.400024,1051.000000,1079.469971,923.033630,240156
2013-12-30,1082.500000,1087.400024,1073.500000,1078.849976,922.503601,138084
2013-12-31,1080.099976,1091.650024,1076.000000,1085.469971,928.164307,147926
2014-01-01,1090.000000,1092.500000,1075.530029,1076.849976,920.793335,73300
2014-01-02,1080.000000,1093.569946,1075.000000,1081.150024,924.470276,117324
2014-01-03,1087.500000,1114.119995,1075.500000,1111.000000,949.994568,267204
2014-01-06,1113.000000,1121.819946,1098.500000,1119.800049,957.519287,145172
2014-01-07,1119.150024,1127.400024,1100.300049,1104.099976,944.094482,135104
2014-01-08,1107.430054,1121.250000,1102.550049,1116.500000,954.697266,151936
2014-01-09,1115.000000,1127.380005,1111.500000,1121.819946,959.246399,145656
2014-01-10,1125.000000,1153.500000,1118.199951,1140.900024,975.561462,266952
2014-01-13,1145.000000,1191.119995,1144.500000,1185.150024,1013.398804,258940
2014-01-14,1190.000000,1192.099976,1161.400024,1164.069946,995.373718,176666
2014-01-15,1171.500000,1188.500000,1164.069946,1177.119995,1006.532227,273356
2014-01-16,1190.000000,1190.000000,1160.550049,1175.680054,1005.300964,278368
2014-01-17,1150.000000,1150.000000,1105.030029,1107.819946,947.275146,768062
2014-01-20,1110.000000,1174.449951,1108.000000,1169.119995,999.691650,562648
2014-01-21,1165.069946,1170.000000,1137.930054,1140.319946,975.065369,298016
2014-01-22,1147.500000,1148.000000,1132.880005,1137.180054,972.380493,193796
2014-01-23,1136.949951,1138.500000,1119.550049,1127.069946,963.735596,163640
2014-01-24,1127.000000,1142.000000,1120.530029,1124.069946,961.170288,184374
2014-01-27,1118.000000,1129.000000,1111.000000,1115.150024,956.948486,133028
2014-01-28,1112.250000,1123.849976,1098.949951,1106.650024,949.654114,429740
2014-01-29,1115.550049,1117.000000,1101.500000,1104.780029,948.049438,117962
2014-01-30,1102.000000,1114.500000,1095.030029,1108.949951,951.628052,162514
2014-01-31,1115.000000,1134.880005,1110.780029,1118.099976,959.479614,252886
2014-02-03,1113.500000,1122.000000,1096.000000,1098.319946,942.505798,107042
2014-02-04,1089.530029,1089.530029,1057.500000,1077.599976,924.725464,258588
2014-02-05,1080.000000,1097.500000,1072.000000,1095.530029,940.111694,162520
2014-02-06,1095.000000,1095.000000,1071.000000,1087.380005,933.117737,204318
2014-02-07,1092.500000,1095.650024,1065.719971,1071.680054,919.645142,160128
2014-02-10,1072.500000,1074.000000,1044.000000,1046.849976,898.337769,216682
2014-02-11,1047.500000,1063.000000,1047.500000,1050.500000,901.469971,202536
2014-02-12,1061.849976,1061.900024,1047.550049,1051.900024,902.671204,126528
2014-02-13,1054.500000,1069.500000,1049.500000,1066.880005,915.526123,165496
2014-02-14,1069.500000,1092.199951,1064.250000,1083.119995,929.462463,149938
2014-02-17,1084.500000,1093.500000,1074.780029,1084.300049,930.474854,202532
2014-02-18,1083.349976,1094.949951,1079.349976,1083.069946,929.419189,67902
2014-02-19,1085.500000,1104.880005,1080.380005,1099.219971,943.278198,94074
2014-02-20,1101.099976,1110.750000,1093.219971,1096.430054,940.884155,135380
2014-02-21,1101.500000,1105.500000,1096.000000,1102.680054,946.247498,67268
2014-02-24,1103.000000,1103.000000,1085.599976,1089.099976,934.593750,181384
2014-02-25,1095.000000,1099.849976,1090.750000,1094.150024,938.927551,105698
2014-02-26,1095.500000,1097.500000,1089.280029,1091.199951,936.395996,69202
2014-02-28,1084.000000,1138.500000,1080.000000,1136.400024,975.183716,293910
2014-03-03,1135.000000,1148.449951,1116.599976,1120.430054,961.479431,131848
2014-03-04,1119.000000,1127.569946,1112.500000,1121.469971,962.371582,90316
2014-03-05,1126.530029,1142.150024,1121.500000,1125.069946,965.460815,296112
2014-03-06,1127.000000,1129.500000,1111.000000,1120.569946,961.599304,77256
2014-03-07,1125.000000,1125.000000,1075.849976,1112.550049,954.717102,1061976
2014-03-10,1112.500000,1113.500000,1067.750000,1071.750000,919.705383,272024
2014-03-11,1074.099976,1088.569946,1062.000000,1075.030029,922.520020,201004
2014-03-12,1073.069946,1094.680054,1073.069946,1089.380005,934.834229,128850
2014-03-13,1077.500000,1100.750000,1069.000000,1076.719971,923.970276,170788
2014-03-14,1074.750000,1080.500000,1063.030029,1070.569946,918.692627,127604
2014-03-18,1069.849976,1075.000000,1055.000000,1061.280029,910.720642,153102
2014-03-19,1039.000000,1039.000000,1007.500000,1020.469971,875.700256,563434
2014-03-20,1019.500000,1060.500000,1007.349976,1053.949951,904.430298,408800
2014-03-21,1061.000000,1071.900024,1043.500000,1062.680054,911.921997,682958
2014-03-22,null,null,null,null,null,null
2014-03-24,1066.000000,1078.619995,1064.619995,1076.180054,923.506714,973286
2014-03-25,1074.849976,1086.000000,1065.000000,1072.849976,920.649170,160596
2014-03-26,1075.750000,1077.300049,1046.500000,1049.180054,900.337219,592608
2014-03-27,1050.000000,1056.099976,1033.349976,1047.430054,898.835510,217646
2014-03-28,1050.000000,1070.000000,1042.500000,1052.780029,903.426636,179600
2014-03-31,1052.500000,1067.969971,1041.550049,1064.119995,913.157715,186888
2014-04-01,1072.500000,1090.500000,1070.000000,1086.219971,932.122437,231464
2014-04-02,1089.900024,1100.000000,1081.000000,1085.819946,931.779114,182808
2014-04-03,1085.500000,1090.449951,1074.680054,1083.349976,929.659485,108080
2014-04-04,1085.500000,1093.000000,1065.750000,1069.780029,918.014832,138092
2014-04-07,1065.500000,1087.500000,1060.550049,1075.199951,922.665588,306634
2014-04-09,1079.500000,1080.030029,1052.500000,1067.449951,916.015320,265118
2014-04-10,1070.000000,1074.000000,1058.969971,1063.280029,912.436951,121562
2014-04-11,1062.900024,1087.000000,1050.569946,1081.849976,928.372559,207916
2014-04-15,1081.849976,1129.400024,1081.849976,1125.780029,966.070129,360516
2014-04-16,1135.000000,1135.000000,1092.500000,1097.500000,941.802246,296764
2014-04-17,1109.000000,1115.000000,1071.550049,1108.719971,951.430542,594404
2014-04-21,1112.500000,1121.000000,1106.430054,1110.250000,952.743652,134934
2014-04-22,1113.650024,1124.469971,1109.000000,1110.150024,952.657654,128950
2014-04-23,1112.550049,1120.000000,1100.969971,1107.469971,950.357788,265354
2014-04-24,1107.469971,1107.469971,1107.469971,1107.469971,950.357788,0
2014-04-25,1107.000000,1117.349976,1097.500000,1101.119995,944.908875,107470
2014-04-28,1111.500000,1111.500000,1090.030029,1095.619995,940.188843,101902
2014-04-29,1096.349976,1102.800049,1090.000000,1096.750000,941.158691,89570
2014-04-30,1097.000000,1103.469971,1090.949951,1094.699951,939.399231,106414
