Date,Open,High,Low,Close,Adj Close,Volume
2013-09-16,378.500000,381.125000,372.500000,374.037994,233.222565,352304
2013-09-17,376.875000,378.631012,374.000000,377.919006,235.642471,285192
2013-09-18,377.625000,378.375000,375.125000,376.962006,235.045731,686016
2013-09-19,376.250000,379.750000,375.000000,377.431000,235.338211,976640
2013-09-20,376.125000,378.875000,373.138000,374.444000,233.475723,362232
2013-09-23,374.444000,380.250000,374.444000,377.330994,235.275833,596848
2013-09-24,377.250000,378.750000,374.750000,376.850006,234.975906,505248
2013-09-25,378.500000,379.375000,374.362000,375.975006,234.430359,197408
2013-09-26,377.875000,379.355988,375.306000,376.669006,234.863083,1179672
2013-09-27,376.875000,381.355988,373.899994,375.799988,234.321228,291688
2013-09-30,376.375000,381.763000,375.263000,376.931000,235.026398,250944
2013-10-01,377.750000,379.718994,374.250000,376.837006,234.967880,301104
2013-10-03,377.500000,381.062012,377.500000,379.850006,236.846542,1646656
2013-10-04,379.375000,379.375000,375.687988,376.931000,235.026398,529568
2013-10-07,377.000000,380.556000,376.125000,377.444000,235.346298,1086424
2013-10-08,380.625000,381.250000,377.937988,379.049988,236.347672,1295256
2013-10-09,379.500000,390.894012,376.250000,388.444000,242.205048,1806616
2013-10-10,391.250000,394.375000,386.524994,390.519012,243.498917,1851312
2013-10-11,415.000000,420.000000,394.705994,409.237000,255.170090,6482728
2013-10-14,406.875000,416.769012,406.875000,415.437988,259.036591,1640520
2013-10-15,415.125000,419.625000,414.000000,418.537994,260.969482,925048
2013-10-17,415.125000,419.000000,407.412994,408.763000,267.665009,601640
2013-10-18,408.750000,415.187988,407.580994,414.519012,271.434143,488520
2013-10-21,415.625000,421.394012,408.544006,416.993988,273.054779,476664
2013-10-22,417.500000,420.375000,415.674988,416.843994,272.956573,569056
2013-10-23,414.375000,416.205994,409.750000,415.519012,272.088959,333568
2013-10-24,413.674988,421.500000,411.513000,413.730988,270.918152,494120
2013-10-25,414.375000,418.500000,413.000000,416.375000,272.649445,555896
2013-10-28,415.000000,416.700012,412.125000,415.480988,272.064087,258392
2013-10-29,415.000000,420.243988,413.080994,416.862000,272.968353,777632
2013-10-30,414.375000,417.006012,413.625000,415.500000,272.076477,188920
2013-10-31,412.750000,415.794006,411.388000,413.580994,270.819885,373456
2013-11-01,413.112000,414.006012,408.950012,409.843994,268.372864,255096
2013-11-05,405.750000,411.250000,404.250000,408.118988,267.243256,257008
2013-11-06,409.375000,413.819000,409.375000,413.237000,270.594666,170368
2013-11-07,415.125000,424.899994,414.500000,419.894012,274.953827,651080
2013-11-08,417.500000,423.625000,417.500000,419.687988,274.818848,414792
2013-11-11,418.625000,424.388000,418.487000,420.388000,275.277283,685408
2013-11-12,419.406006,421.743988,416.287994,417.419006,273.333069,635800
2013-11-13,415.000000,419.862000,415.000000,416.737000,272.886505,373896
2013-11-14,419.125000,421.806000,418.750000,419.225006,274.515717,292304
2013-11-18,422.537994,426.250000,422.537994,425.037994,278.322174,549504
2013-11-19,425.125000,430.987000,424.894012,430.450012,281.866028,578200
2013-11-20,427.500000,430.000000,424.375000,425.299988,278.493713,234288
2013-11-21,425.250000,425.250000,414.506012,418.419006,273.987915,368064
2013-11-22,415.638000,421.562012,415.638000,418.662994,274.147705,233392
2013-11-25,418.625000,422.394012,413.687988,415.950012,272.371185,958416
2013-11-26,414.375000,418.556000,411.656006,414.868988,271.663300,636552
2013-11-27,415.000000,416.625000,411.250000,411.955994,269.755829,144912
2013-11-28,412.125000,416.618988,406.375000,415.493988,272.072540,5930520
2013-11-29,413.750000,420.750000,413.750000,419.187988,274.491486,361016
2013-12-02,419.250000,421.737000,416.049988,417.306000,273.259125,436856
2013-12-03,415.500000,419.924988,415.500000,418.556000,274.077667,691616
2013-12-04,418.625000,423.287994,417.350006,420.625000,275.432434,531336
2013-12-05,421.912994,424.580994,418.093994,418.894012,274.298981,367472
2013-12-06,418.750000,418.750000,415.000000,415.825012,272.289307,1148552
2013-12-09,418.750000,423.000000,415.312012,417.181000,273.177307,233248
2013-12-10,413.750000,423.705994,413.750000,421.287994,275.866608,627960
2013-12-11,420.125000,422.375000,417.750000,421.424988,275.956299,683936
2013-12-12,421.250000,423.144012,418.750000,420.424988,275.301483,237896
2013-12-13,419.000000,422.500000,418.125000,421.730988,276.156647,479264
2013-12-16,421.250000,432.500000,419.325012,431.230988,282.377411,1017992
2013-12-17,430.544006,435.399994,430.544006,432.056000,282.917603,848608
